name,type,date,time,place,price,send_date,views
Вечірка Забуття,вечірка,2023/02/17,-,secret place,400-500 грн,2023-02-08 17:47:49+00:00,726
Він-його,виставка,2023/02/11,18:00-,"Порохова вежа, вул. Підвальна 4",0-100 грн,2023-02-08 00:01:37+00:00,879
Посеред Бурі,виставка,2023/02/07-2023/02/19,-,"Артсалон Veles, вул. Фредра 4а",донат,2023-02-07 21:27:57+00:00,708
Atomic Simao & Junket,концерт,2023/02/19,18:00-,"Promiselove, вул. Промислова 21",400-500 грн,2023-02-06 22:32:53+00:00,807
Благодійний концерт The Unsleeping,концерт,2023/03/04,-,"!FESTrepublic, вул. Старознесенська 24",400-450 грн,2023-02-06 14:07:17+00:00,783
Лекція «Зрозумілий дизайн паковання»,лекція,2023/02/08,-,"Мистецький Центр, вул. Стефаника 11",0 грн,2023-02-05 23:11:28+00:00,737
Благодійний квартирник СУВІАТО,вечірка,2023/02/25,17:00-,"Дикий Дім, вул. Староєврейська 22",200-250 грн,2023-02-05 16:17:08+00:00,732
"Лекцію ""Ютуб для креаторів""",лекція,2023/02/08,-,"Пункт Пластичності, вул. Дорошенка 50",донат,2023-02-04 21:40:52+00:00,739
Вечірка Techno Girls Club,вечірка,2023/02/11,-,вул. Яблонської 31,400-500 грн,2023-02-04 20:28:52+00:00,710
Благодійна вечірка Земляни,вечірка,2023/02/04,-,secret place,300-500 грн,2023-02-03 18:42:55+00:00,705
Піксель,вечірка,2023/02/04,-,secret place,донат,2023-02-03 00:30:29+00:00,704
"Показ документального фільму ""Культура в тилу""",кіно,2023/02/16,-,"Палац Хоткевича, вул. Кушевича 1",0 грн,2023-02-02 15:18:46+00:00,729
Виступ Новий твій & Петро Петровський,концерт,2023/02/10,17:30-21:00,"Пункт Пластичності, вул. Дорошенка 50",200-250 грн,2023-02-01 23:59:39+00:00,716
Презентація мистецького арт-буку «Dni pro rudne»,презентація,2023/02/04,-,"Мистецький Центр, вул. Стефаника 11",0 грн,2023-02-01 17:21:59+00:00,726
Препаті та афтерпаті Землян у Дикому Домі,вечірка,2023/02/04-2023/02/05,18:00-21:00(),"Дикий Дім, вул. Староєврейська 22",0 грн,2023-01-31 22:28:44+00:00,752
Відкриття виставки «Міф»,виставка,2023/02/07,17:00-,"Дзиґа, вул. Вірменська 35",0 грн,2023-01-31 13:00:06+00:00,784
Вечірка Штурм,вечірка,2023/02/11,-,"Клуб151, вул. Яблонської 31",350-500 грн,2023-01-31 00:42:38+00:00,710
Sad Novelist,концерт,2023/02/11,18:00-,"Клуб151, вул. Яблонської 31",400-500 грн,2023-01-30 16:02:27+00:00,745
Земляни,вечірка,2023/02/04,-,secret place,300-500 грн,2023-01-29 20:59:19+00:00,745
Eskadron gigs 2023 vol1,концерт,2023/01/29,18:00-,"Нижній Зал, пл. Галицького 1",300 грн,2023-01-28 22:29:10+00:00,695
B2B Tekno Madness,вечірка,2023/01/29,16:00-,"Дикий Дім, вул. Староєврейська 22",200 грн,2023-01-28 15:08:27+00:00,693
Сольний концерт Ігоря Цимбровського,концерт,2023/01/28,-,"Нижній Зал, пл. Галицького 1",450 грн,2023-01-27 17:52:03+00:00,683
Виставка «Пейзаж буде іншим»,виставка,2023/02/02,-,"Мистецький Центр, вул. Стефаника 11",0 грн,2023-01-26 21:39:30+00:00,672
Благодійна вечірка Двір,вечірка,2023/01/28,19:00-22:30,"Promiselove, вул. Промислова 21",200-300 грн,2023-01-26 17:32:12+00:00,655
Благодійна вечірка Hood,вечірка,2023/02/04,-,"!FESTrepublic, вул. Старознесенська 24",250 грн,2023-01-25 23:09:34+00:00,667
Презентація поетичної збірки Морті Блек,презентація,2023/01/28,-,"Мистецький Центр, вул. Стефаника 11",0 грн,2023-01-25 16:25:21+00:00,651
Презентація 3-го номеру журналу «ПлюсМінусНескінечнність»,презентація,2023/01/26,-,Мистецький Центр / Sneakermate,0 грн,2023-01-25 00:08:16+00:00,655
Концерт Eskadron gigs 2023 vol1.,концерт,2023/01/29,-,"Нижній Зал, пл. Галицького 1",300 грн,2023-01-24 14:43:03+00:00,887
Відкрита лекція про шовкодрук від Printostan,лекція,2023/01/25,17:00-,"Мистецький Центр, вул. Стефаника 11",0 грн,2023-01-23 22:56:09+00:00,776
Благодійний музично-поетичний вечір «Харків - Львів»,вечірка,2023/01/25,19:30-,"Довгі бурхливі оплески, вул. Січових стрільців 3",донат,2023-01-23 13:24:48+00:00,696
Благодійна вечірка Hytek,вечірка,2023/01/28,-,"Клуб151, вул. Яблонської 31",400-500 грн,2023-01-22 22:37:35+00:00,643
Благодійна вечірка Найт Амбасадорс Реюніон,вечірка,2023/01/28,23:59-,пл. Адама Міцкевича 10,400 грн,2023-01-22 14:48:11+00:00,631
Локальна сцена | House,вечірка,2023/01/22,19:00-23:00,"Дикий Дім, вул. Староєврейська 22",200 грн,2023-01-21 19:00:05+00:00,618
Тиск.Досвід,концерт,2023/01/21-2023/01/22,-,secret place,0 грн,2023-01-21 13:00:10+00:00,657
Квартирник «Українські письменники на сучасну музику»,концерт,2023/01/21,18:00-,"Драбина студія, вул. Зелена 20",300 грн,2023-01-20 22:15:27+00:00,619
Благодійна вечірка Darkred,вечірка,2023/01/21,16:00-,"Дикий Дім, вул. Староєврейська 22",300 грн,2023-01-20 20:49:00+00:00,635
Фестиваль «Розколяда» в Театрі ляльок,фестиваль,2023/01/20-2023/01/22,-,"Львівський театр Ляльок, пл. Галицького 1",350-900 грн,2023-01-19 21:14:31+00:00,1072
Сольний концерт Clonnex,концерт,2023/01/20,19:00-,"!FESTrepublic, вул. Старознесенська 24",400 грн,2023-01-19 15:21:45+00:00,620
Вечірка Локальна сцена | House,вечірка,2023/01/22,19:00-,"Дикий Дім, вул. Староєврейська 22",200 грн,2023-01-18 20:59:49+00:00,603
Розколяда у Нижньому Залі,фестиваль,2023/01/21,0:00-23:59,"Нижній Зал, пл. Галицького 1",350 грн,2023-01-18 19:27:45+00:00,606
Абстрагування,виставка,2023/01/20,19:00-,"Світло, вул. Валова 19",донат,2023-01-18 00:09:39+00:00,690
Українські письменники на сучасну музику,концерт,2023/01/21,18:00-,"Драбина студія, вул. Зелена 20",250 грн,2023-01-17 12:42:05+00:00,785
Розколяда,фестиваль,2023/01/20-2023/01/22,-,"Львівський театр Ляльок, пл. Галицького 1",350-900 грн,2023-01-16 22:06:35+00:00,686
Побудова бренду. Дизайн-система. Люблю і ненавиджу,лекція,2023/01/19,-,"Мистецький Центр, вул. Стефаника 11",0 грн,2023-01-16 13:00:04+00:00,664
Porichka Music Open Mic,концерт,2023/01/18,19:30-,"Нижній Зал, пл. Галицького 1",донат,2023-01-15 19:01:38+00:00,737
Херсон: мистецтво в окупації,виставка,2023/01/16,-,"Мистецький Центр, вул. Стефаника 11",0 грн,2023-01-15 14:41:22+00:00,621
Darkred,вечірка,2023/01/21,16:00-,"Дикий Дім, вул. Староєврейська 22",300 грн,2023-01-14 19:00:06+00:00,613
Проєкт Weaving «Хроніки вишиванки»,виставка,2023/01/14-2023/01/15,17:00-/18:00-,Галарея Detenpyla | Мистецький Центр,0 грн,2023-01-14 13:00:08+00:00,604
Маскарадна вечірка Маланка,вечірка,2023/01/14,23:59-,"Promiselove, вул. Промислова 21",400-700 грн,2023-01-13 19:31:44+00:00,603
Лекція про Istanbul Artist Residency,лекція,2023/01/13,-20:00,"Мистецький Центр, вул. Стефаника 11",0 грн,2023-01-13 13:00:09+00:00,586
Відкриття виставки «Показники»,виставка,2023/01/13,17:00-,"Дзиґа, вул. Вірменська 35",0 грн,2023-01-12 21:33:39+00:00,613
Вечірка Локальна сцена | TECHNO,вечірка,2023/01/15,17:00-,"Дикий Дім, вул. Староєврейська 22",200 грн,2023-01-11 21:42:25+00:00,3855
Відкриття виставки «Місця в зміні»,виставка,2023/01/11,16:00-,"Палац Хоткевича, вул. Кушевича 1",0 грн,2023-01-11 15:42:14+00:00,614
Благодійна вечірка Двір,вечірка,2023/01/28,-,"Promiselove, вул. Промислова 21",200-300 грн,2023-01-10 14:17:08+00:00,649
Сольний концерт Ігоря Цимбровського,концерт,2023/01/28,-,"Нижній Зал, пл. Галицького 1",400-450 грн,2023-01-09 18:42:24+00:00,635
Перший сольний концерт Гоні!,концерт,2023/01/14,-,"Нижній Зал, пл. Галицького 1",450 грн,2023-01-08 17:52:32+00:00,689
Лекція «Менеджмент артистів»,лекція,2023/01/11,19:00-,"Пункт пластичності, вул. Дорошенка 50",100+ грн,2023-01-07 22:07:35+00:00,712
Різдвяний вініл у Пороховій,вечірка,2023/12/07,16:00-,"Порохова вежа, вул. Підвальна 4",донат,2023-01-06 22:51:35+00:00,730
Сольний концерт Clonnex,концерт,2023/01/20,19:00-,"!FESTrepublic, вул. Старознесенська 24",400 грн,2023-01-05 19:45:47+00:00,805
Маскарадна вечірка Маланка,вечірка,2023/01/14,19:00-,"Promiselove, вул. Промислова 21",400-700 грн,2023-01-04 19:02:49+00:00,802
Благодійний різдвяний ярмарок «Іскра»,фестиваль,2023/01/08,-,"Порохова вежа, вул. Підвальна 4",0 грн,2023-01-03 19:50:09+00:00,720
Виставка Аналогової Фотографії,гра,2023/01/05,17:00-,"Дикий Дім, вул. Староєврейська 22",0 грн,2023-01-02 21:31:14+00:00,865
Solid New Year 2023,вечірка,2023/01/01,23:00-05:00,"Promiselove, вул. Промислова 21",400 грн,2023-01-01 22:18:16+00:00,3967
DrumandBass Парад,вечірка,2023/01/07,16:00-22:30,"!FESTrepublic, вул. Старознесенська 24",400-500 грн,2023-01-01 21:35:48+00:00,676
Поетичний вечір Людяник,літвечір,2022/12/30,18:00-,"Дзиґа, вул. Вірменська 35",0 грн,2022-12-30 13:00:09+00:00,632
Двір презентує Дикий Дім,вечірка,2022/12/30,-,"Дикий Дім, вул. Староєврейська 22",200-300 грн,2022-12-29 23:17:23+00:00,633
Різдв‘яний вініл у Пороховій,вечірка,-,16:00-,"Порохова вежа, вул. Підвальна 4",донат,2022-12-29 18:51:35+00:00,675
Вечірка Двір презентує Дикий Дім | Дикий Дім,вечірка,2022/12/30,15:00-,-,150 грн,2022-12-29 13:00:05+00:00,615
Навчально-інтерактивна експозиція «Зброя перемоги»,виставка,2022/12/23-2022/12/30,10:00-20:00,"Lem Station, вул. Вітовського 57",донат,2022-12-28 21:58:28+00:00,620
Live-запис подкасту «Цей дощ надовго»,запис подкасту,2022/12/30,1900-,"Мистецький Центр, вул. Стефаника 11",0 грн,2022-12-28 18:34:27+00:00,563
Виставка Аналогової Фотографії,гра,2022/12/29,17:00-,"Дикий Дім, вул. Староєврейська 22",0 грн,2022-12-27 23:40:14+00:00,631
Вечірка 3112 New Year Edition,вечірка,2022/12/31,22:00-,"Клуб151, вул. Яблонської 31",750 грн,2022-12-27 19:09:02+00:00,625
Вечірка Night Ambassadors 2023,вечірка,2022/12/31,-,secret place,1000 грн,2022-12-27 00:23:26+00:00,693
День Народження і офіційне закриття Дому Культури NAZVA,вечірка,2022/12/27,18:00-,"ДК NAZVA, вул. Яблонської 31",500 грн,2022-12-26 13:10:35+00:00,717
Вечірка Двір презентує Дикий Дім,вечірка,2022/12/30,-,"Дикий Дім, вул. Староєврейська 22",200-300 грн,2022-12-25 19:13:33+00:00,604
Porichka Music Open Mic #1,вечірка,2022/12/26,19:30-,"ДК NAZVA, вул. Яблонської 31",донат,2022-12-25 14:04:23+00:00,582
Solid New Year 2023,вечірка,2022/12/31-2023/01/01,23:59-,"Promiselove, вул. Промислова 21",400-800 грн,2022-12-24 23:15:35+00:00,605
Reflections of the War,виставка,2022/12/25,17:00-,"Порохова вежа, вул. Підвальна 4",0 грн,2022-12-24 18:04:41+00:00,986
Вечір Drum&Bass від Студії Драбина,вечірка,2022/12/24,17:00-22:00,"Драбина студія, вул. Зелена 20",250-350 грн,2022-12-23 20:07:46+00:00,570
Вечірка Локальна сцена / DNB | Дикий Дім,вечірка,2022/12/23,- 23:59,Дикий Дім,100 грн,2022-12-23 13:08:34+00:00,580
Вечір Drum&Bass,вечірка,2022/12/24,- 23:59,Драбина студія,175 грн,2022-12-22 18:26:17+00:00,560
День Народження і офіційне закриття Дому Культури NAZVA,вечірка,2022/12/27,- 23:59,ДК NAZVA,500 грн,2022-12-22 14:32:08+00:00,532
Вечір Drum&Bass від Студії Драбина,вечірка,2022/12/24,- 22:00,"Драбина студія, вул. Зелена 20",250-350 грн,2022-12-21 21:06:45+00:00,577
Вечірка Локальна сцена | DNB,вечірка,2022/12/23,18:00-,"Дикий Дім, вул. Староєврейська 22",150 грн,2022-12-21 13:00:07+00:00,564
Перший сольний концерт Гоні!,концерт,2023/01/14,-,"Нижній Зал Театру Ляльок, пл. Д. Галицького 1",350-500 грн,2022-12-20 19:00:06+00:00,555
Проєкт Weaving «Ти м’яса мого не їж»,виставка,2022/12/18,-,"31 Art space, вул. Яблонської 31",донат,2022-12-20 13:00:07+00:00,563
Екскурсія виставкою «Ліс. Предмет. Сонце. Шрам. На пам‘ять. Сховати. Обмеження»,виставка,2022/12/21,18:00-,"Мистецький Центр, вул. Стефаника 11",0 грн,2022-12-19 18:58:34+00:00,544
Благодійний концерт Mauser | Зріз,концерт,2022/12/18,20:00-,"Нижній Зал, пл. Д. Галицького 1",250 грн,2022-12-18 13:41:57+00:00,965
Новаторство. Прокляття бути першим,лекція,2022/12/18,16:00-,"Дзиґа, вул. Вірменська 35",0 грн,2022-12-17 21:47:39+00:00,543
Висока Поезія Імені Гоца,концерт,2022/12/08,18:00-,"ДК NAZVA, вул. Яблонської 31",0 грн,2022-12-17 19:00:03+00:00,486
ЩукаРиба | Зріз,концерт,2022/12/17,20:00-,"Нижній Зал, пл. Д. Галицького 1",150 грн,2022-12-17 14:40:20+00:00,509
Локальний маркет подарунків,виставка,2022/12/17,-,"Дикий Дім, вул. Староєврейська 22",0 грн,2022-12-16 22:07:39+00:00,544
Акустичний вечір Жені Галича,вечірка,2022/12/16,-,"!FESTrepublic, вул. Старознесенська 24",450-600 грн,2022-12-15 23:10:28+00:00,559
Благодійний концерт Паліндром,концерт,2022/12/17,-,"!FESTrepublic, вул. Старознесенська 24",500 грн,2022-12-15 17:24:15+00:00,568
Благодіний концерт Mauser | Зріз,концерт,2022/12/18,-,"Нижній Зал, пл. Д. Галицького 1",250 грн,2022-12-14 19:31:11+00:00,879
Wiz-Art Film Festival 2022,фестиваль,2022/12/15-2022/12/18,-,Американський Дім | Палац Хоткевича,0 грн,2022-12-14 13:00:09+00:00,608
Виставка «Курбас. Майстерні»,виставка,2022/12/14-2022/12/31,-,"Дзиґа, вул. Вірменська 35",0 грн,2022-12-14 00:42:17+00:00,587
"Лекція: ""Що таке авторське право?""",лекція,2022/12/13,-,"ДК NAZVA, вул. Яблонської 31",донат,2022-12-13 19:56:40+00:00,541
UA: Night Summit | Lviv edition,конференція,2022/12/13,-  -,"Порохова вежа, вул. Підвальна 4",0 грн,2022-12-13 12:48:58+00:00,519
Благодійний концерт ЩукаРиба | Зріз,концерт,2022/12/17,-  -,"Нижній Зал, пл. Д. Галицького 1",300 грн,2022-12-12 22:43:10+00:00,585
"Лекція «Місто для митця, митець доя міста»",лекція,2022/12/13,-  -,"ХША, вул. Кубійовича 35а",0 грн,2022-12-12 21:18:49+00:00,480
Локальний маркет подарунків,-,2022/12/17,-,"Дикий Дім, вул. Староєврейська 22",0 грн,2022-12-11 23:19:22+00:00,555
Фрістайл батли «Сходка»,вечірка,2022/12/11,19:00-,"Дикий Дім, вул. Староєврейська 22",0 грн,2022-12-11 16:19:29+00:00,499
Фотовиставка «Міцніші за сталь»,виставка,2022/12/11-2022/12/17,-,"Порохова вежа, вул. Підвальна 4",0 грн,2022-12-11 13:33:36+00:00,484
Виставка «Ліс. Предмет. Сонце. Шрам. На пам‘ять. Сховати. Обмеження»,виставка,2022/12/11,-,"Мистецький Центр, вул. Стефаника 11",0 грн,2022-12-11 00:42:51+00:00,492
Благодійний ярмарок «Іскра»,фестиваль,2022/12/11,-,"Lem Station, вул. Вітовського 57",донат,2022-12-10 19:03:40+00:00,488
Благодійний концерт Туча | Зріз,концерт,2022/12/10,20:00-,"Нижній Зал, пл. Д. Галицького 1",400 грн,2022-12-10 14:57:59+00:00,505
Благодійна вечірка Джем,вечірка,2022/12/10,17:00-23:00,"Promiselove, вул. Промислова 21",300-400 грн,2022-12-09 14:33:36+00:00,783
Благодійна хіп-хоп вечірка Стиль,вечірка,2022/12/09,18:00-,"Дикий Дім, вул. Староєврейська 22",200-300 грн,2022-12-08 22:53:49+00:00,511
Hardcore. Metal. Hip-Hop unity / Благодійний концерт,концерт,2022/12/10,-20:00,"ДК NAZVA, вул. Яблонської 31",200-300 грн,2022-12-08 12:55:09+00:00,525
Благодійний концерт vioria,концерт,2022/12/10,18:00-,"Клуб151, вул. Яблонської 31",300-400 грн,2022-12-07 22:15:01+00:00,530
Літературні діалоги «Спільнокореневе»,лекція,2022/12/10,14:00-,"Мистецький Центр, вул. Стефаника 11",0 грн,2022-12-07 18:49:00+00:00,518
Благодійна вечірка Джем,вечірка,2022/12/10,-22:00,"Promiselove, вул. Промислова 21",300-400 грн,2022-12-06 19:00:08+00:00,512
Благодійна хіп-хоп вечірка Стиль,вечірка,2022/12/09,18:00-,"Дикий Дім, вул. Староєврейська 22",200-300 грн,2022-12-06 12:56:53+00:00,544
Фотовиставка “Янголи спорту”,виставка,2022/12/06,13:30-,"Мистецький Центр, вул. Стефаника 11",0 грн,2022-12-05 21:21:49+00:00,549
Виставка «Lemberg Style»,виставка,2022/12/06,-,"Я Галарея, вул. Шота Руставелі 8",50 грн,2022-12-05 13:13:47+00:00,622
Ярмарок Saint bazaarr,фестиваль,2022/12/10,-,"Порохова вежа, вул. Підвальна 4",донат,2022-12-04 21:20:55+00:00,664
Івент Збуй х UnderCastle,вечірка,2022/12/10,14:00-,"Студія UnderCastle, вул. Яблонської 31",0 грн,2022-12-04 15:35:17+00:00,3632
Вечірка Локальна сцена | Хіп-хоп,вечірка,2022/12/04,18:00-,"Дикий Дім, вул. Староєврейська 22",100 грн,2022-12-03 19:00:04+00:00,573
Solid,вечірка,-,23:00-,"Promiselove, вул. Промислова 21",400 грн,2022-12-03 16:33:35+00:00,539
Виставка цифрового та медіа мистецтва Ubiennale,виставка,2022/12/07,17:00-,"Дзиґа, вул. Вірменська 35",0 грн,2022-12-02 23:30:41+00:00,600
Tour-Niquet,концерт,2022/12/03,-,"Promiselove, вул. Промислова 21",200-300 грн,2022-12-02 13:52:36+00:00,546
Tour-Niquet,концерт,2022/12/03,-,"Promiselove, вул. Промислова 21",200-300 грн,2022-11-30 23:19:05+00:00,552
Презентація кліпу «Лід» Гоні,презентація,2022/12/05,18:30-,"Мистецький Центр, вул. Стефаника 11",0 грн,2022-11-30 19:29:41+00:00,531
Благодійний концерт Туча | Зріз,концерт,2022/12/10,-,"Нижній Зал, пл. Д. Галицького 1",400 грн,2022-11-29 23:07:21+00:00,935
Лекція «Міф соцреалізму: Український пін-ап 50-тих»,лекція,2022/12/04,18:30-,"Мистецький Центр, вул. Стефаника 11",0 грн,2022-11-29 15:21:40+00:00,599
Живий аукціон від Лесі,аукціон,2022/12/06,-,"Театр Лесі, вул. Городоцька 36",0 грн,2022-11-28 19:00:05+00:00,576
Ярмарок крафту й арту для ЗСУ IV,ярмарок,2022/12/04,-,"Порохова вежа, вул. Підвальна 4",донат,2022-11-27 23:12:32+00:00,597
Вечірка Solid,вечірка,2022/12/03,23:00-,"Promiselove, вул. Промислова 21",400 грн,2022-11-26 20:03:50+00:00,577
Перфомативна вистава «Херсон Незламний»,вистава,2022/11/26-2022/11/27,-,"Галерея сценографії, вул. Городоцька 36",250 грн,2022-11-25 21:45:58+00:00,582
Серія концертів ZRIZ,концерт,2022/11/27-2022/12/18,-,"Нижній Зал, пл. Д. Галицького 1",250-1000 грн,2022-11-25 14:45:44+00:00,567
Перфомативна вистава «Херсон Незламний»,вистава,2022/11/26-2022/11/27,-,"Галерея сценографії, вул. Городоцька 36",250 грн,2022-11-24 19:00:08+00:00,534
Fashion індустрія в часи війни. Як працюють українські бренди,дебати,2022/11/26,11:00-,"Грушевський cinema&jazz, пр. Шевченка 28",0 грн,2022-11-23 22:41:04+00:00,606
Моновистава «Відпускаю»,вистава,2022/11/24,19:00-,"!FESTrepublic, вул. Старознесенська 24",150 грн,2022-11-23 00:05:27+00:00,606
Вінтажний маркет Тлум&Крам для ЗСУ,фестиваль,2022/11/27,-,"Порохова вежа, вул. Підвальна 4",донат,2022-11-21 21:42:50+00:00,610
Музико-літературний квартирник ГориЩе,вечірка,2022/11/26,19:00-,"ДК NAZVA, вул. Яблонської 31",80-100 грн,2022-11-21 12:52:20+00:00,574
Чемпіонат України з Брейкінгу 2022,гра,2022/11/26,-,"Malevich Concert Hall, пр. Чорновола 2",0 грн,2022-11-20 22:03:06+00:00,587
Концерт Макса Пташника з акустичною програмою,гра,2022/11/25,19:00-,"ДК NAZVA, вул. Яблонської 31",300 грн,2022-11-20 15:47:09+00:00,569
Дні італійського кіно у Львові,кіно,2022/11/23-2022/12/01,-,"Планета Кіно, ТРЦ Форум Львів",донат,2022-11-19 22:36:31+00:00,602
Благодійна вечірка Dvir,вечірка,2022/11/19,18:00-,"Promiselove, вул. Промислова 21",300 грн,2022-11-19 13:58:28+00:00,552
Promiselove,вечірка,2022/11/19,-,"Promiselove, вул. Промислова 21",300-400 грн,2022-11-17 21:50:00+00:00,547
Вечір вина і кави від КБН,вечеря,2022/11/17,16:00-,"Порохова вежа, вул. Підвальна 4",0 грн,2022-11-17 13:16:49+00:00,595
Chumera Production,вечірка,2022/11/19,14:00-,"Клуб151, вул. Яблонської 31",350 грн,2022-11-16 23:19:19+00:00,583
Вечірка Tysk X Night Ambassadors,вечірка,2022/11/19,-,"Порохова вежа, вул. Підвальна 4",350-400 грн,2022-11-16 12:32:14+00:00,596
Дні Італійського Кіно у Львові,кіно,"2022/11/16-2022/11/17, 2022/11/23-2022/11/24",-,"Планета Кіно, ТРЦ Форум Львів",донат,2022-11-15 21:19:20+00:00,620
Благодійна вечірка Dvir,вечірка,2022/11/19,-,"Promiselove, вул. Промислова 21",200-300 грн,2022-11-15 00:02:19+00:00,836
Арт Стрій. Благодійний мистецький аукціон,аукціон,2022/11/17,19:00-,"Мистецький Центр, вул. Стефаника 11",0 грн,2022-11-14 19:21:46+00:00,691
Лекція «Чи можна передбачити майбутню біду»,лекція,2022/11/15,19:00-,"Мистецький Центр, вул. Стефаника 11",0 грн,2022-11-13 22:57:24+00:00,567
Виставка «Калина» Ірина Максимова,виставка,2022/11/15,19:00-,"Дзиґа, вул. Вірменська 35",0 грн,2022-11-13 16:30:17+00:00,567
Дискусія ХША «Мова міста»,дебати,2022/11/15,-,"ХША, вул. Кубійовича 35а",0 грн,2022-11-13 00:08:55+00:00,564
Відкриття виставки «Різне»,виставка,2022/11/13,16:00-,"Дикий Дім, вул. Староєврейська 22",донат,2022-11-12 16:10:40+00:00,607
Ship Her Son,концерт,2022/11/11,19:00-,"Нижній Зал, пл. Д. Галицького 1",250 грн,2022-11-11 16:53:31+00:00,547
Atomic Simao & Junket,концерт,2022/11/11,20:00-,"Promiselove, вул. Промислова 21",400 грн,2022-11-11 11:58:03+00:00,541
Lviv Art and Wine weekend,фестиваль,2022/11/12-2022/11/13,-,"!FESTrepublic, вул. Старознесенська 24",100 грн,2022-11-10 21:39:20+00:00,535
Виставка Анни Верещаки «Ці квіти для тебе»,виставка,2022/11/12,16:00-,"Виставкові зали ХММ Олени Кульчицької, вул. Листопадового Чину 7",20-40 грн,2022-11-10 13:42:02+00:00,586
Кіноперегляд фільму Old school. Ukrainian Graffiti,кіно,2022/11/10,18:00-,"Дикий Дім, вул. Староєврейська 22",0 грн,2022-11-09 13:37:22+00:00,594
День працівників (Дому) культури,вечірка,2022/11/09,19:00-,"ДК NAZVA, вул. Яблонської 31",донат,2022-11-08 22:03:08+00:00,985
Hip-hop B-day party,вечірка,2022/11/12,-,"Травень, вул. Пекарська 1ц",200 грн,2022-11-08 13:07:19+00:00,568
Благодійна вечірка Light Dreams,вечірка,2022/11/12,-,"Collab space, вул.Жовківська 14",200 грн,2022-11-07 19:00:05+00:00,1082
Лекція «Як змінилась українська модна індустрія за час війни»,лекція,2022/11/11,-,"Мистецький Центр, вул. Стефаника 11",0 грн,2022-11-07 13:02:51+00:00,561
Благодійний «USL 3X3 streetball»,спорт,2022/11/12-2022/11/13,-,"Urban Camp, вул. Патона 6",0 грн,2022-11-06 20:20:48+00:00,570
Atomic Simao & Junket,вечірка,2022/11/11,19:00-,"Promiselove, вул. Промислова 21",300-400 грн,2022-11-05 23:06:25+00:00,586
Ship Her Son,концерт,2022/11/11,-,"Нижній Зал, пл. Д. Галицького 1",250 грн,2022-11-05 13:49:10+00:00,567
Хранителі коду,кіно,2022/11/10,-,"Мистецький Центр, вул. Стефаника 11",0 грн,2022-11-04 19:35:08+00:00,564
Благодійна вечірка Dvir,вечірка,2022/11/19,-19:00,"Promiselove, вул. Промислова 21",200-300 грн,2022-11-04 12:50:15+00:00,536
Стріт-арт фестиваль «Об’єднані перемогами»,фестиваль,2022/11/05-2022/11/06,-,ТРЦ Victoria Gardens,0 грн,2022-11-03 21:28:21+00:00,540
Земляни,вечірка,2022/11/05,20:00-,"Клуб151, вул. Яблонської 31",350-500 грн,2022-11-02 21:33:59+00:00,568
літературний вечір,вечірка,2022/11/03,19:00-,"ДК NAZVA, вул. Яблонської 31",донат,2022-11-02 12:35:17+00:00,547
Warнякання,концерт,2022/11/04,-,"Нижній Зал в Театрі Ляльок, пл. Д. Галицького 1",300 грн,2022-11-02 00:36:30+00:00,591
Фестиваль DIY культури «Чверть»,фестиваль,2022/11/05,13:00-,"Порохова вежа, вул. Підвальна 4",250 грн,2022-11-01 12:57:09+00:00,909
Друга лекція про діяльність об‘єднання митців «Відкрита Група»,лекція,2022/11/02,-,"Мистецький Центр, вул. Стефаника 11",0 грн,2022-10-31 23:46:41+00:00,570
Щось живе - запис подкасту від радіо Скорбота,вистава,2022/11/05,19:00-,"ДК NAZVA, вул. Яблонської 31",донат,2022-10-31 18:25:17+00:00,548
Кінопоказ документального фільму «High Landz»,кіно,2022/10/04,-18:00,"Планета Кіно, ТРЦ Форум Львів",донат,2022-10-30 23:54:15+00:00,733
Благодійний ярмарок Sunday Bazaarr,фестиваль,2022/10/30,12:00-21:00,"Дзиґа, вул. Вірменська 35",донат,2022-10-30 11:53:21+00:00,573
Концерт Blooms Corda,концерт,2022/10/29,19:00-,"Нижній Зал в Театрі Ляльок, пл. Д. Галицького 1",400 грн,2022-10-29 15:49:19+00:00,540
Виставка «Зустріч з воскреслим»,виставка,2022/10/29,17:00-,"Дзиґа, вул. Вірменська 35",0 грн,2022-10-29 10:56:48+00:00,544
Благодійна вечірка на Promiselove,вечірка,2022/10/29,-,"Promiselove, вул. Промислова 21",300-400 грн,2022-10-28 21:20:44+00:00,523
Кінопоказ «Українська нова хвиля: Обережно крихке»,кіно,2022/10/29,-,"Мистецький Центр, вул. Стефаника 11",донат,2022-10-28 12:07:37+00:00,542
Благодійна вечірка Найт Амбассадорс Х Гіпнохаус,вечірка,2022/10/29,15:00-,"Urban Camp, вул. Патона 6",400 грн,2022-10-27 18:00:13+00:00,549
Благодійний концерт Жадан і Собаки. Вітання з Харкова!,концерт,2022/10/29,-,"!FESTrepublic, вул. Старознесенська 24",700 грн,2022-10-27 11:22:58+00:00,594
Фотовиставка «Нескорений херсон»,виставка,2022/10/28,13:00-,"Дзиґа, вул. Вірменська 35",0 грн,2022-10-26 22:45:08+00:00,567
Виставка Олега Сусленка «Про важливість лівої та правої літери Ж»,виставка,2022/10/26,19:00-,"Detenpyla Gallery, вул. Гузара 7",0 грн,2022-10-26 12:59:54+00:00,670
